dist;freq1;freq2;dist_moy;mot_FR;mot_EN;bon ?;pourcentage
0,357965752;10;11;0,034091976; cause ; us ;0;0,263803681
0,221641606;7;6;0,034098709; contre ; seven ;0;0,262996942
0,256808821;7;8;0,034241176; afin ; things ;0;0,262195122
0,273968769;9;7;0,034246096; puisque ; lighted ;0;0,261398176
0,480349468;16;12;0,034310676; millions ; volcanoes ;0;0,260606061
0,292718666;8;9;0,03443749; sait ; continued ;0;0,259818731
0,172830613;5;5;0,034566123; seconde ; proud ;0;0,259036145
0,432822932;13;12;0,034625835; grande ; years ;0;0,258258258
0,346486793;10;10;0,034648679; peine ; might ;0;0,25748503
0,295592958;10;7;0,034775642; yeux ; idea ;0;0,256716418
0,296400957;10;7;0,034870701; ces ; work ;0;0,255952381
0,349875033;9;11;0,034987503; jours ; set ;0;0,255192878
0,193794865;6;5;0,03523543; bonne ; turn ;0;0,25443787
0,370749863;10;11;0,035309511; ans ; draw ;0;0,253687316
0,196238504;6;5;0,035679728; maintenant ; minute ;0;0,252941176
0,288960318;9;7;0,03612004; savais ; ask ;0;0,252199413
0,397354691;11;11;0,036123154; air ; don ;0;0,251461988
0,452908405;13;12;0,036232672; dis ; looking ;0;0,250728863
0,308032898;9;8;0,036239164; disait ; inhabited ;0;0,25
0,181785691;5;5;0,036357138; difficile ; light ;0;0,249275362
0,293285657;8;8;0,036660707; bruit ; walk ;0;0,248554913
0,275879215;7;8;0,036783895; importe ; head ;0;0,247838617
0,29500921;9;7;0,036876151; abord ; until ;0;0,247126437
0,351379801;10;9;0,036987347; homme ; upon ;0;0,246418338
0,300093597;7;9;0,0375117; grand ; upon ;0;0,245714286
0,188841067;5;5;0,037768213; mange ; grow ;0;0,245014245
0,377944951;10;10;0,037794495; aime ; get ;0;0,244318182
0,249177633;6;7;0,03833502; éteint ; makes ;0;0,243626062
0,287929443;7;8;0,038390592; heures ; walk ;0;0,242937853
0,538461765;16;12;0,038461555; ont ; matters ;0;0,242253521
0,349588673;8;10;0,038843186; boire ; matter ;0;0,241573034
0,234587615;5;7;0,039097936; pardon ; forget ;0;0,240896359
0,293418545;8;7;0,039122473; ci ; possible ;0;0,240223464
0,254903446;6;7;0,039215915; tantôt ; goodbye ;1;0,242339833
0,294756364;8;7;0,039300849; or ; knew ;0;0,241666667
0,199262139;5;5;0,039852428; cadeau ; hour ;0;0,24099723
0,319523392;7;9;0,039940424; avoir ; hear ;0;0,240331492
0,22010321;6;5;0,040018765; dessiné ; outside ;0;0,239669421
0,280634113;7;7;0,040090588; point ; afraid ;0;0,239010989
0,324865696;7;9;0,040608212; ton ; found ;0;0,238356164
0,305834094;8;7;0,040777879; regarda ; idea ;0;0,237704918
0,244822851;6;6;0,040803808; peux ; against ;0;0,237057221
0,247208584;7;5;0,041201431; tant ; best ;0;0,236413043
0,373343468;10;8;0,041482608; question ; magnificent ;0;0,235772358
0,25095125;5;7;0,041825208; leurs ; possible ;0;0,235135135
0,335778436;9;7;0,041972305; besoin ; judge ;0;0,234501348
0,233995856;5;6;0,042544701; juste ; different ;0;0,233870968
0,298226448;8;6;0,042603778; histoire ; off ;0;0,233243968
0,234429958;6;5;0,042623629; semblait ; thirst ;0;0,232620321
0,256805221;5;7;0,04280087; suffit ; trouble ;0;0,232
0,21411882;5;5;0,042823764; jusqu ; thirst ;0;0,231382979
0,214834759;5;5;0,042966952; mettre ; grow ;0;0,230769231
0,300991866;7;7;0,042998838; part ; trouble ;0;0,23015873
0,279551648;7;6;0,043007946; chercher ; each ;0;0,229551451
0,347584093;7;9;0,043448012; travail ; hear ;0;0,228947368
0,347750873;7;9;0,043468859; voilà ; hear ;0;0,228346457
0,221554823;5;5;0,044310965; vraiment ; bring ;0;0,227748691
0,224747444;5;5;0,044949489; mieux ; turn ;0;0,227154047
0,279410503;6;6;0,046568417; pu ; slowly ;0;0,2265625
0,279850392;6;6;0,046641732; pris ; off ;0;0,225974026
0,267102566;6;5;0,048564103; voit ; altogether ;0;0,225388601
0,348062228;8;6;0,049723175; tour ; gone ;0;0,224806202
0,30062172;7;5;0,05010362; étaient ; complete ;0;0,224226804
0,2507817;5;5;0,05015634; faisait ; grass ;0;0,223650386
0,251878057;5;5;0,050375611; comment ; anyone ;0;0,223076923
0,280813239;5;6;0,051056953; disais ; wait ;0;0,222506394
0,257327331;5;5;0,051465466; livres ; concerned ;0;0,221938776
0,284531401;6;5;0,051732982; vite ; began ;0;0,221374046
0,296253819;6;5;0,053864331; demande ; book ;0;0,220812183
0,278906903;5;5;0,055781381; près ; whole ;0;0,220253165
0,300888251;5;5;0,06017765; semblable ; invisible ;0;0,21969697
0,42667065;5;5;0,08533413; globe ; hand ;0;0,219143577
